TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE,NOMINAL
NOK,2016-08-12,,,,78.2942,,,10
PLN,2016-08-12,,,,16.9661,,,1
RON,2016-08-12,,,,16.2232,,,1
SEK,2016-08-12,,,,76.8027,,,10
SGD,2016-08-12,,,,48.3293,,,1
TJS,2016-08-12,,,,82.4758,,,10
TMT,2016-08-12,,,,18.5338,,,1
TRY,2016-08-12,,,,21.8826,,,1
UAH,2016-08-12,,,,26.143,,,10
USD,2016-08-12,,,,64.9497,,,1
UZS,2016-08-12,,,,21.9647,,,1000
XDR,2016-08-12,,,,90.7438,,,1
ZAR,2016-08-12,,,,48.6442,,,10
AMD,2016-08-13,,,,13.5104,,,100
AUD,2016-08-13,,,,49.494,,,1
AZN,2016-08-13,,,,39.56,,,1
BGN,2016-08-13,,,,36.7007,,,1
BRL,2016-08-13,,,,20.4789,,,1
BYN,2016-08-13,,,,32.9423,,,1
CAD,2016-08-13,,,,49.6193,,,1
CHF,2016-08-13,,,,66.0267,,,1
CNY,2016-08-13,,,,96.8163,,,10
CZK,2016-08-13,,,,26.5644,,,10
DKK,2016-08-13,,,,96.4867,,,10
EUR,2016-08-13,,,,71.7158,,,1
GBP,2016-08-13,,,,83.3414,,,1
HUF,2016-08-13,,,,23.1368,,,100
INR,2016-08-13,,,,96.2543,,,100
JPY,2016-08-13,,,,63.0533,,,100
KGS,2016-08-13,,,,93.4444,,,100
